receptionist	el_/_la_recepcionista
refund	una_reembolsa
restaurant	el_restaurante
room_service	el_servicio_a_las_habitaciones
shampoo	el_champú
shower	la_ducha
shower_cap	una_gorra_de_ducha
slippers	las_zapatillas
soap	el_jabón
soap_dispenser	la_jabonera
stairs	las_escaleras
tap_/_faucet	el_grifo
to_iron	planchar
to_pay_a_deposit_or_down_payment	dar_or_dejar_una_señal
to_wash	lavar
toilet	el_váter
toilet_paper	el_papel_higiénico
toothbrush	el_cepillo_de_dientes
toothpaste	la_pasta_dentrífica_/_pasta_de_dientes
towel	una_toalla
twin_beds	camas_gemelas
waiter_/_waitress	el_camarero_/_la_camarera
washbasin	el_lavabo
window	la_ventana
